network,s_init,s_temporal,policy,target,trial,fold,K95,capture,beforeCapture,d_precue,d_prego,ratio,C,undefinedC,moMs,peakMs,peakSpeedMps,nearZero,missingWindow,boundaryPeak,largePeakCount,denominatorGuard,peakPositionX_M,peakPositionY_M
4,0.20000000000000001,0.10000000000000001,1,6,3,3,50,0.95044832433929494,0.9481107097220306,4.7669378184412059,9.6077985786753271,2.0155074273272331,-1.0155074273272331,0,59,202,0.41245449024852948,0,0,0,1,2.2737367544323206e-13,-0.031747750559118548,0.22627513910299413
4,0.20000000000000001,0.10000000000000001,1,6,4,3,50,0.95044832433929494,0.9481107097220306,4.8302391860229026,9.0534973471562097,1.8743372736807744,-0.87433727368077441,0,73,206,0.36617326320320931,0,0,0,1,2.2737367544323206e-13,-0.02463311023639897,0.22316665682213754
4,0.20000000000000001,0.10000000000000001,1,6,5,1,50,0.95067322967603163,0.94840026052189985,6.4145025578791426,8.9594906560869116,1.396755332973042,-0.396755332973042,0,81,215,0.33140022100995198,0,0,0,1,2.2737367544323206e-13,-0.021552675300997526,0.22144951368867
4,0.20000000000000001,0.10000000000000001,1,6,6,1,50,0.95067322967603163,0.94840026052189985,5.9451478449056996,8.9026139336328374,1.4974587959593539,-0.49745879595935394,0,74,216,0.3440664612403978,0,0,0,1,2.2737367544323206e-13,-0.018879561489149099,0.22714942231486435
4,0.20000000000000001,0.10000000000000001,1,6,7,1,50,0.95067322967603163,0.94840026052189985,5.2437222733571076,10.251038849416748,1.9549164343621659,-0.95491643436216589,0,61,199,0.39670882950672187,0,0,0,1,2.2737367544323206e-13,-0.032973480137101163,0.21974984413311821
4,0.20000000000000001,0.10000000000000001,1,6,8,1,50,0.95067322967603163,0.94840026052189985,5.6116936068480125,9.7623898275726546,1.7396512553107855,-0.73965125531078546,0,73,210,0.38584888779768706,0,0,0,1,2.2737367544323206e-13,-0.017289596949303543,0.2321639864385977
4,0.20000000000000001,0.10000000000000001,1,6,9,2,50,0.95086283529545057,0.94851755321003872,6.0738187577013161,8.2844492735129869,1.363960566490183,-0.36396056649018305,0,74,207,0.31170750477266779,0,0,0,2,2.2737367544323206e-13,-0.0094329293511284384,0.22595646639833478
4,0.20000000000000001,0.10000000000000001,1,6,10,2,50,0.95086283529545057,0.94851755321003872,4.9782821024310344,9.4295683359677476,1.8941410193213088,-0.89414101932130885,0,65,206,0.40477868236136622,0,0,0,1,2.2737367544323206e-13,-0.02116900422778395,0.23370334115825261
4,0.20000000000000001,0.10000000000000001,1,6,11,1,50,0.95067322967603163,0.94840026052189985,5.3080320240323271,8.2913731074596893,1.5620427815657791,-0.56204278156577914,0,60,195,0.3459561635270948,0,0,0,1,2.2737367544323206e-13,-0.020528174868948368,0.22443808733857051
4,0.20000000000000001,0.10000000000000001,1,6,12,2,50,0.95086283529545057,0.94851755321003872,4.24127195054196,10.564900489430215,2.4909745502360927,-1.4909745502360927,0,80,212,0.34820572594242954,0,0,0,1,2.2737367544323206e-13,-0.022080696266499611,0.2224901392857217
4,0.20000000000000001,0.10000000000000001,1,6,13,3,50,0.95044832433929494,0.9481107097220306,4.8184410305487502,9.752367068779618,2.0239672970884039,-1.0239672970884039,0,94,213,0.27880497331484672,0,0,0,1,2.2737367544323206e-13,-0.013536035020502768,0.2167112784796143
4,0.20000000000000001,0.10000000000000001,1,6,14,3,50,0.95044832433929494,0.9481107097220306,5.685026317164116,10.437937329528953,1.8360402832287592,-0.83604028322875923,0,93,221,0.2946698837555824,0,0,0,1,2.2737367544323206e-13,-0.021040603857757412,0.2139620937727969
4,0.20000000000000001,0.10000000000000001,1,6,15,2,50,0.95086283529545057,0.94851755321003872,6.1652960943900066,11.575622819467409,1.8775453185452724,-0.8775453185452724,0,79,209,0.30594914975692794,0,0,0,1,2.2737367544323206e-13,-0.017232092669897059,0.22102090310363209
4,0.20000000000000001,0.10000000000000001,1,6,16,2,50,0.95086283529545057,0.94851755321003872,5.8909366204434379,10.308841403041356,1.7499494676731664,-0.74994946767316639,0,71,212,0.42123791157313101,0,0,0,1,2.2737367544323206e-13,-0.021388003516773946,0.23560522445957349
4,0.20000000000000001,0.10000000000000001,1,6,17,3,50,0.95044832433929494,0.9481107097220306,4.6420138587262816,7.6649485694344843,1.651211909896724,-0.65121190989672395,0,75,209,0.33390059157828045,0,0,0,1,2.2737367544323206e-13,-0.018020522984471654,0.22478125937474272
4,0.20000000000000001,0.10000000000000001,1,6,18,2,50,0.95086283529545057,0.94851755321003872,5.9280084318639448,7.5739213491081792,1.2776502321415744,-0.27765023214157436,0,64,206,0.41112840436392611,0,0,0,1,2.2737367544323206e-13,-0.028921584224139096,0.22903469329078521
4,0.20000000000000001,0.10000000000000001,1,6,19,3,50,0.95044832433929494,0.9481107097220306,6.343630007588394,9.5385539867394318,1.5036428630498937,-0.5036428630498937,0,82,216,0.29639813670508747,0,0,0,1,2.2737367544323206e-13,-0.015184868229658033,0.221403299411218
4,0.20000000000000001,0.10000000000000001,1,6,20,3,50,0.95044832433929494,0.9481107097220306,5.9411264037269458,13.97234197818816,2.3518001518067564,-1.3518001518067564,0,61,200,0.36750619034072907,0,0,0,1,2.2737367544323206e-13,-0.021608635405540033,0.22820299912863123
