network,policy,target,trial,MOms,peakMs,peakMps,nearZero,boundaryPeak,missingWindow,numberLargePeaks
1,2,6,7,54,204,0.455248758449369,0,0,0,1
1,2,6,8,52,202,0.502649063260171,0,0,0,1
1,2,6,9,57,200,0.427852259976838,0,0,0,1
1,2,6,10,54,201,0.402746436264061,0,0,0,1
1,2,6,11,54,198,0.400602512258411,0,0,0,1
1,2,6,12,53,190,0.3490451251459,0,0,0,1
1,2,6,13,58,202,0.35955586482022,0,0,0,1
1,2,6,14,57,202,0.327022239362128,0,0,0,1
1,2,6,15,52,193,0.358315681140827,0,0,0,1
1,2,6,16,57,209,0.435386008080861,0,0,0,1
1,2,6,17,61,219,0.421998873564789,0,0,0,1
1,2,6,18,56,208,0.424833408905851,0,0,0,1
1,2,6,19,51,188,0.334060308675299,0,0,0,1
1,2,6,20,56,202,0.462306074421788,0,0,0,1
1,2,6,21,54,202,0.456469451489498,0,0,0,1
1,2,6,22,55,194,0.300364480914552,0,0,0,1
1,2,6,23,52,201,0.383069583834863,0,0,0,1
1,2,6,24,52,189,0.37333773444048,0,0,0,1
1,2,6,25,51,190,0.381855917631473,0,0,0,1
1,2,6,26,56,206,0.378889351260421,0,0,0,1
1,2,6,27,55,202,0.412679410400632,0,0,0,1
1,2,6,28,52,200,0.422809332287395,0,0,0,1
1,2,6,29,59,208,0.455734393374508,0,0,0,1
1,2,6,30,56,199,0.417629288106122,0,0,0,1
1,2,7,1,60,203,0.399126645637625,0,0,0,1
1,2,7,2,59,210,0.43798750137384,0,0,0,1
1,2,7,3,61,210,0.445500551526807,0,0,0,1
1,2,7,4,61,205,0.392556941368466,0,0,0,1
1,2,7,5,57,204,0.44432613853343,0,0,0,1
1,2,7,6,58,197,0.426237622203192,0,0,0,1
1,2,7,7,50,192,0.400984543632332,0,0,0,1
1,2,7,8,55,202,0.423166641814118,0,0,0,1
1,2,7,9,58,197,0.395740332709131,0,0,0,1
1,2,7,10,59,216,0.450668066596561,0,0,0,1
1,2,7,11,56,205,0.426448598749114,0,0,0,1
1,2,7,12,51,203,0.40459267710659,0,0,0,1
1,2,7,13,47,188,0.448401187650215,0,0,0,1
1,2,7,14,52,197,0.391287534943304,0,0,0,1
1,2,7,15,53,201,0.431102662079367,0,0,0,1
1,2,7,16,54,197,0.405733820798183,0,0,0,1
1,2,7,17,57,201,0.405533481711212,0,0,0,1
1,2,7,18,56,200,0.437173431817637,0,0,0,1
1,2,7,19,61,210,0.412807547573537,0,0,0,1
1,2,7,20,57,209,0.439549484531159,0,0,0,1
1,2,7,21,48,190,0.394833160414833,0,0,0,1
1,2,7,22,53,199,0.421261575530642,0,0,0,1
1,2,7,23,54,197,0.42566588792808,0,0,0,1
1,2,7,24,56,207,0.434639706540133,0,0,0,1
1,2,7,25,58,208,0.43942014162595,0,0,0,1
1,2,7,26,54,202,0.460197287532925,0,0,0,1
1,2,7,27,56,201,0.412724803615259,0,0,0,1
1,2,7,28,56,211,0.400287517816101,0,0,0,1
1,2,7,29,56,203,0.394498639188355,0,0,0,1
1,2,7,30,46,187,0.455596380052628,0,0,0,1
1,2,8,1,55,196,0.430454463636549,0,0,0,1
1,2,8,2,47,190,0.425978518278164,0,0,0,1
1,2,8,3,49,195,0.379452404422893,0,0,0,1
1,2,8,4,51,191,0.396284195295776,0,0,0,1
1,2,8,5,52,201,0.455758294237352,0,0,0,1
1,2,8,6,54,198,0.410413763183421,0,0,0,1
1,2,8,7,51,197,0.432937267290832,0,0,0,1
1,2,8,8,51,193,0.412209478186087,0,0,0,1
1,2,8,9,60,210,0.48530374318934,0,0,0,1
1,2,8,10,56,199,0.356878100984325,0,0,0,1
1,2,8,11,46,180,0.433332805267288,0,0,0,1
1,2,8,12,67,210,0.418689823471611,0,0,0,1
1,2,8,13,59,204,0.432046984021225,0,0,0,1
1,2,8,14,49,189,0.432614970868059,0,0,0,1
1,2,8,15,54,200,0.465781407873692,0,0,0,1
1,2,8,16,53,196,0.401174558423302,0,0,0,1
1,2,8,17,58,204,0.401866699046863,0,0,0,1
1,2,8,18,61,207,0.415144682464377,0,0,0,1
