network,eta,s_init,s_temporal,condition,target,goBias,cueEqDistance,relativeBias,dispersion,C,endpointRmsM
1,1,0.050000000000000003,0.10000000000000001,1,4,0.2542349733031487,2.5624824793304231,0.099214326479836204,1.3082150710938569,-0.51369878300721117,0.024809495331836177
1,1,0.050000000000000003,0.10000000000000001,1,5,0.30218841852829181,2.9547417558016322,0.10227236202112933,1.3154337060788681,-0.5644350967313031,0.022498825665968454
1,1,0.050000000000000003,0.10000000000000001,1,6,0.28747039662939267,2.9725615420443363,0.096707971412322402,1.2769911318818175,-0.44947582839054273,0.018620261956515664
1,1,0.050000000000000003,0.10000000000000001,1,7,0.24928383142983307,3.1076688598083217,0.080215699508347449,1.3677750346213724,-0.59947919833061325,0.019952128015580758
1,1,0.050000000000000003,0.10000000000000001,1,8,0.25081466330082403,2.6604722164658208,0.094274490727066104,1.3160394400130999,-0.55235402424139635,0.017633218574826717
1,1,0.050000000000000003,0.10000000000000001,2,1,0.29744941603577679,2.6930219532760287,0.11045190911790867,1.3559098656394979,-0.56530073503177836,0.026173614829608057
1,1,0.050000000000000003,0.10000000000000001,2,2,0.29238474155974903,2.8364432426616868,0.10308147089358941,1.3836627718699179,-0.64536104899951718,0.030884462109165598
1,1,0.050000000000000003,0.10000000000000001,2,3,0.28383649910822778,2.7523191909349238,0.10312630164520001,1.3824655194337081,-0.5516905848135466,0.032381143496018221
1,1,0.050000000000000003,0.10000000000000001,2,4,0.29656815189942487,2.6829943803129663,0.11053625534050904,1.3783904010470625,-0.58382976954368448,0.032009612606004947
1,1,0.050000000000000003,0.10000000000000001,2,5,0.34247198951984525,2.9014349519303479,0.11803538428183472,1.3844762410142402,-0.63104623886868527,0.036454186174395858
1,1,0.050000000000000003,0.10000000000000001,2,6,0.2817803759899733,2.8678923123803592,0.09825347164311575,1.3479094352689336,-0.5247974390935114,0.027746399020966126
1,1,0.050000000000000003,0.10000000000000001,2,7,0.27291522816533564,2.899200135747356,0.094134663143903147,1.4409251158122394,-0.68393917457757103,0.029221864372849397
1,1,0.050000000000000003,0.10000000000000001,2,8,0.27262118592825374,2.8333777085941612,0.096217735143938984,1.3836280873772218,-0.60794790797159248,0.026276105942600398
1,1,0.10000000000000001,0.10000000000000001,1,1,0.26127966226616339,2.0937255051148562,0.12479174640031444,1.2856400267872714,-0.065329095741268425,0.019850418104433696
1,1,0.10000000000000001,0.10000000000000001,1,2,0.28702347544174622,3.2688063510108782,0.087806815277688202,1.3222031461336063,-0.13298081578420665,0.023660245444420847
1,1,0.10000000000000001,0.10000000000000001,1,3,0.29403356273929721,2.8729261487974851,0.10234637004587474,1.3068967095086419,-0.032277449852630737,0.021744277726973398
1,1,0.10000000000000001,0.10000000000000001,1,4,0.25392795881115687,2.5628454533636789,0.099080480439381141,1.3081935999858834,-0.070986635274323667,0.024807833475293927
1,1,0.10000000000000001,0.10000000000000001,1,5,0.30196428913238438,2.9525225589052773,0.10227332157771736,1.3162232895210666,-0.10645237398093114,0.02249875982081739
1,1,0.10000000000000001,0.10000000000000001,1,6,0.28695937410133365,2.9917723541986527,0.095916179484249506,1.277170466307048,-0.017156552987267037,0.018616981037584145
1,1,0.10000000000000001,0.10000000000000001,1,7,0.24897438030771785,3.1056411274166167,0.080168432247296917,1.3683183311344438,-0.12855193031086518,0.019946634508377973
1,1,0.10000000000000001,0.10000000000000001,1,8,0.25157576268106424,2.6775417422175432,0.093957736947439294,1.3163017252200357,-0.11071791481999617,0.017626143791224801
1,1,0.10000000000000001,0.10000000000000001,2,1,0.29701635795746967,2.7086985697539658,0.10965279092846718,1.3556233277035179,-0.12177171377669123,0.026161317271601495
1,1,0.10000000000000001,0.10000000000000001,2,2,0.29186713345895571,2.8269626147682949,0.10324407260789965,1.3836693943313851,-0.15933274173475079,0.030918014804970102
1,1,0.10000000000000001,0.10000000000000001,2,3,0.28387195221695227,2.7418082460804039,0.10353457526534396,1.3837402273375052,-0.089162997542196101,0.032391788083250071
1,1,0.10000000000000001,0.10000000000000001,2,4,0.29615217893730578,2.6823134333279008,0.11040923676465161,1.3785340362745611,-0.12046406638525008,0.03198205705914553
