eta,s_init,s_temporal,condition,metric,median,bootstrapSE,availableN
0,0.20000000000000001,0.10000000000000001,1,endpoint,26.466772217272997,0.99511924194626378,10
1,0.20000000000000001,0.10000000000000001,1,endpoint,19.750734951988733,0.52074853091123263,10
0,0.10000000000000001,0.050000000000000003,1,endpoint,13.211506220254339,0.4911236294234681,10
1,0.10000000000000001,0.050000000000000003,1,endpoint,9.8797633355575805,0.25803910347513487,10
0,0.10000000000000001,0.20000000000000001,1,endpoint,52.577498204820614,1.4814323143441315,10
1,0.10000000000000001,0.20000000000000001,1,endpoint,39.421003922501534,1.0409149648380314,10
0,0.050000000000000003,0.10000000000000001,2,endpoint,59.882557423144291,2.1175487132810162,10
1,0.050000000000000003,0.10000000000000001,2,endpoint,28.611649140848549,0.88180421229662209,10
0,0.10000000000000001,0.10000000000000001,2,endpoint,61.684735177932481,2.0363706744519807,10
1,0.10000000000000001,0.10000000000000001,2,endpoint,28.633553873495867,0.87572774611282511,10
0,0.20000000000000001,0.10000000000000001,2,endpoint,68.264995990668311,1.8501938519181382,10
1,0.20000000000000001,0.10000000000000001,2,endpoint,28.715273999288353,0.86305618015054753,10
0,0.10000000000000001,0.050000000000000003,2,endpoint,34.391633008073221,0.82776428816460079,10
1,0.10000000000000001,0.050000000000000003,2,endpoint,14.37405650457549,0.42694417476694435,10
0,0.10000000000000001,0.20000000000000001,2,endpoint,116.66604180176147,4.1570631073664099,10
1,0.10000000000000001,0.20000000000000001,2,endpoint,57.190171438407504,1.7873212463653236,10
0,0.050000000000000003,0.10000000000000001,1,separation,5.5641228589359528,0.20376557577674634,10
1,0.050000000000000003,0.10000000000000001,1,separation,7.3567231834059523,0.21488502842583657,10
0,0.10000000000000001,0.10000000000000001,1,separation,5.5606313164413512,0.20617078346595408,10
1,0.10000000000000001,0.10000000000000001,1,separation,7.3572789592689407,0.2150653868628794,10
0,0.20000000000000001,0.10000000000000001,1,separation,5.525774246217555,0.20674032698314393,10
1,0.20000000000000001,0.10000000000000001,1,separation,7.3582660221165703,0.21558601206863082,10
0,0.10000000000000001,0.050000000000000003,1,separation,10.913603919961325,0.38167986395417691,10
1,0.10000000000000001,0.050000000000000003,1,separation,14.580414423004523,0.42161277429218369,10
0,0.10000000000000001,0.20000000000000001,1,separation,2.917837728214562,0.089668513736543887,10
1,0.10000000000000001,0.20000000000000001,1,separation,3.7533013286241235,0.11976124513663415,10
0,0.050000000000000003,0.10000000000000001,2,separation,1.4087806014265061,0.12927640632158743,10
1,0.050000000000000003,0.10000000000000001,2,separation,2.9945761451567598,0.17470603363310444,10
0,0.10000000000000001,0.10000000000000001,2,separation,1.3844074785620433,0.11527039982059571,10
1,0.10000000000000001,0.10000000000000001,2,separation,2.9931401240362936,0.17624191189684396,10
0,0.20000000000000001,0.10000000000000001,2,separation,1.2840230034800419,0.08979398398450994,10
1,0.20000000000000001,0.10000000000000001,2,separation,2.9872010208441644,0.17940803375138165,10
0,0.10000000000000001,0.050000000000000003,2,separation,2.4979524026349398,0.18728632961819916,10
1,0.10000000000000001,0.050000000000000003,2,separation,5.9052307640446848,0.36274703036411715,10
0,0.10000000000000001,0.20000000000000001,2,separation,0.75102328560572962,0.056382378687788455,10
1,0.10000000000000001,0.20000000000000001,2,separation,1.3875526401146201,0.084436129343708741,10
0,0.050000000000000003,0.10000000000000001,1,shuffle,-0.01099574135309328,0.00042218155246866499,10
