network,eta,condition,target,rawBias,cueDistance,biasRatio,goRms,convergence
2,0.75,1,4,0.387016955489215,2.2723426009664,0.170316287396373,1.50169071243036,-0.179939097325533
2,0.75,1,5,0.356687076722008,2.48081446200636,0.143778215656457,1.51672524460083,-0.249799422885025
2,0.75,1,6,0.325579623007136,2.75429593248478,0.118207930806264,1.54672055350123,-0.273863043777186
2,0.75,1,7,0.480169807466874,3.42975023039224,0.140001392291461,1.52695926130609,-0.187042606979998
2,0.75,1,8,0.275884425537748,2.83588358523589,0.0972834100010488,1.49757766578225,-0.155249006032602
2,0.75,2,1,0.37035080529941,2.80925618556415,0.13183233597652,1.62656152731486,-0.303256610606194
2,0.75,2,2,0.461872112785931,2.92703994786179,0.157794946776633,1.66146248927756,-0.360018599965632
2,0.75,2,3,0.468425873897035,2.99722730643943,0.156286402733166,1.61198265410602,-0.327973763471887
2,0.75,2,4,0.347177210399969,2.73311842834122,0.127026039852462,1.57827227909709,-0.22161095123447
2,0.75,2,5,0.414405279646972,2.80880729746942,0.14753781080686,1.61017500876841,-0.326468910238187
2,0.75,2,6,0.387392814013945,2.86789380473941,0.135079204597377,1.62934866032044,-0.323141673105151
2,0.75,2,7,0.474245059522692,3.10442355410141,0.152764289813529,1.61197931051544,-0.25186018937283
2,0.75,2,8,0.364720455853875,2.75711351381127,0.13228343846812,1.57489743465908,-0.207467252826542
2,0.5,1,1,0.615080360629966,2.51229494259049,0.244828085350417,1.80403271140588,-0.43647712194593
2,0.5,1,2,0.63217938238679,3.1573697227357,0.200223425794759,1.87482704263596,-0.522775154815506
2,0.5,1,3,0.631628394947194,3.16400530140165,0.199629373145293,1.78704148258586,-0.447124500793246
2,0.5,1,4,0.643560756128929,2.2723426009664,0.283214668358209,1.76548074552872,-0.376391801846546
2,0.5,1,5,0.554414152889215,2.48081446200636,0.223480700141047,1.79218098366983,-0.455130803916987
2,0.5,1,6,0.528506657425096,2.75429593248478,0.191884485320466,1.81750628942341,-0.478169544833522
2,0.5,1,7,0.787535063469527,3.42975023039224,0.229618779959806,1.78983465031224,-0.37245334280566
2,0.5,1,8,0.422410174638138,2.83588358523589,0.148951874060444,1.76163234735447,-0.349956957184794
2,0.5,2,1,0.589186154188922,2.80925618556415,0.209730304134083,1.93549666032041,-0.539513721586241
2,0.5,2,2,0.77315977020368,2.92703994786179,0.264143907830323,1.98300070822637,-0.589311914074987
2,0.5,2,3,0.811943740675124,2.99722730643943,0.270898286202949,1.92766385450172,-0.561877072407334
2,0.5,2,4,0.548981369535924,2.73311842834122,0.200862635092293,1.87157958397039,-0.425861916612645
2,0.5,2,5,0.649926331770241,2.80880729746942,0.231388722307788,1.92937085436409,-0.56309746036692
2,0.5,2,6,0.625663974487692,2.86789380473941,0.218161486123976,1.93472056055842,-0.543575774439754
2,0.5,2,7,0.769285252164897,3.10442355410141,0.247802929838152,1.91585556185306,-0.460226712914226
2,0.5,2,8,0.590901053153141,2.75711351381127,0.214318725069943,1.87417738134578,-0.436280956499861
2,0.25,1,1,1.17851817916583,2.51229494259049,0.469100247421839,2.23119284327919,-0.788009141219474
