network,eta,condition,target,trial,fold,referenceK95,cueDistance,pregoDistance,convergence,foldMean
9,0.5,1,7,4,1,75,3.85061977233483,4.75860792536243,-0.235803119163086,-0.392580165435712
9,0.5,1,7,5,3,76,3.5041341785553,4.99548393906888,-0.425597218748184,-0.435922421484037
9,0.5,1,7,6,1,75,3.28902552688822,4.93398218397957,-0.500134962055967,-0.392580165435712
9,0.5,1,7,7,3,76,3.32792088698461,3.79487382004066,-0.140313712048351,-0.435922421484037
9,0.5,1,7,8,2,76,3.07703256385005,4.45250443493671,-0.447012451946768,-0.410971242353359
9,0.5,1,7,9,1,75,3.14562170352695,4.83616700334626,-0.537428037810086,-0.392580165435712
9,0.5,1,7,10,3,76,3.05253015440633,5.15403545246655,-0.688447023210139,-0.435922421484037
9,0.5,1,7,11,1,75,3.36145841764462,5.18490933665197,-0.542458270325724,-0.392580165435712
9,0.5,1,7,12,3,76,3.63676707810378,5.29370892377233,-0.455608459404688,-0.435922421484037
9,0.5,1,7,13,3,76,3.40897944356005,6.49847235839238,-0.906280887281013,-0.435922421484037
9,0.5,1,7,14,2,76,3.8804279478643,5.81289043400987,-0.498002414194844,-0.410971242353359
9,0.5,1,7,15,2,76,3.6627262265682,5.21454996701497,-0.423679970725181,-0.410971242353359
9,0.5,1,7,16,1,75,3.1918431937808,5.52460437082671,-0.730850807956736,-0.392580165435712
9,0.5,1,7,17,3,76,3.46467616109334,4.77168739082714,-0.377239074869656,-0.435922421484037
9,0.5,1,7,18,3,76,3.63893097646686,4.85868101633432,-0.335194607360138,-0.435922421484037
9,0.5,1,7,19,2,76,3.52145705066609,5.57020822556977,-0.581790760309334,-0.410971242353359
9,0.5,1,7,20,1,75,3.80436134181061,4.46714649036082,-0.174217191533854,-0.392580165435712
9,0.5,1,7,21,2,76,3.83255752841548,4.58258471213959,-0.195698871618556,-0.410971242353359
9,0.5,1,7,22,1,75,3.83675255926539,4.81789764713656,-0.255722794919833,-0.392580165435712
9,0.5,1,7,23,2,76,2.99255046418971,4.21544519646579,-0.408646319221621,-0.410971242353359
9,0.5,1,7,24,3,76,3.86141447297738,5.40851489302188,-0.400656399583958,-0.435922421484037
9,0.5,1,7,25,1,75,3.76349631668135,4.18484827280097,-0.111957584295222,-0.392580165435712
9,0.5,1,7,26,1,75,3.24099621579135,5.16311521032308,-0.593064251407156,-0.392580165435712
9,0.5,1,7,27,2,76,3.371607982664,4.65325697795589,-0.380129897034835,-0.410971242353359
9,0.5,1,7,28,3,76,3.67559380341167,4.06144520462076,-0.104976616526819,-0.435922421484037
9,0.5,1,7,29,3,76,3.79229446441105,5.78290857013037,-0.52491021580743,-0.435922421484037
9,0.5,1,7,30,1,75,3.24336577972778,4.03528100114797,-0.244164634889456,-0.392580165435712
9,0.5,1,8,1,3,78,3.06644742658214,5.10030275381273,-0.663261111082388,-0.367752012024221
9,0.5,1,8,2,1,79,3.36329683099229,4.46327466048209,-0.327053449268486,-0.366030818994362
9,0.5,1,8,3,3,78,3.43477412824616,4.42287360513663,-0.287675241514354,-0.367752012024221
9,0.5,1,8,4,2,79,3.41704232441084,4.81294402738853,-0.408511680702807,-0.416445624928185
9,0.5,1,8,5,3,78,3.57235471145,4.18989858135197,-0.17286745572119,-0.367752012024221
9,0.5,1,8,6,2,79,4.07385377056427,5.32883603044372,-0.308057758220817,-0.416445624928185
9,0.5,1,8,7,1,79,3.44256365783224,4.9558375325038,-0.439577601195167,-0.366030818994362
